name,sku,new_description
Filter Drip,filter-drip-default-default-01,"Discover our high-quality Filter Drip. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 800, while business partners can enjoy a wholesale rate of Rp 800."
Sachet Drip,SCT-M-DRP-10x12.5-BLK,"Discover our high-quality Sachet Drip. Crafted from durable opp doff 20 / vmpet 12 / lldpe 95, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 585, while business partners can enjoy a wholesale rate of Rp 400."
Sachet Drip,SCT-M-DRP-10x12.5-WHT,"Discover our high-quality Sachet Drip. Crafted from durable opp doff 20 / vmpet 12 / lldpe 95, this product is designed for longevity and performance. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 585, while business partners can enjoy a wholesale rate of Rp 400."
Flat Bottom,FBT-A-ZIP-12.5x19.5x6.5-BLU,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,700, while business partners can enjoy a wholesale rate of Rp 3,000."
Flat Bottom,FBT-A-ZIP-12.5x19.5x6.5-KRF,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,700, while business partners can enjoy a wholesale rate of Rp 3,000."
Flat Bottom,FBT-A-ZIP-12.5x19.5x6.5-GLD,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,700, while business partners can enjoy a wholesale rate of Rp 3,000."
Flat Bottom,FBT-M-ZIP-12.5x19.5x6.5-RED,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,700, while business partners can enjoy a wholesale rate of Rp 3,000."
Flat Bottom,FBT-A-ZIP-12.5x19.5x6.5-WHT,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,800, while business partners can enjoy a wholesale rate of Rp 3,000."
Flat Bottom,FBT-A-ZIP-12.5x19.5x6.5-BLK,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 3,800, while business partners can enjoy a wholesale rate of Rp 3,000."
Flat Bottom,FBT-A-ZIP-12.4x19.5x6.5-BLK,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,858, while business partners can enjoy a wholesale rate of Rp 2,000."
Flat Bottom,FBT-A-ZIP-12.4x19.5x6.5-WHT,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,858, while business partners can enjoy a wholesale rate of Rp 2,000."
Flat Bottom,FBT-A-ZIP-12.4x19.5x6.5-RED,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,858, while business partners can enjoy a wholesale rate of Rp 2,000."
Flat Bottom,FBT-A-ZIP-12.4x19.5x6.5-KRF,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,858, while business partners can enjoy a wholesale rate of Rp 2,000."
Flat Bottom,FBT-A-ZIP-12.4x19.5x6.5-GLD,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,858, while business partners can enjoy a wholesale rate of Rp 2,000."
Flat Bottom,FBT-A-ZIP-12.4x19.5x6.5-TRS,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 2,858, while business partners can enjoy a wholesale rate of Rp 2,000."
Flat Bottom,FBT-A-ZIP-25x35x9.5-GLD,"Discover our high-quality Flat Bottom. This product is available in various high-grade materials to suit your specific packaging needs. Perfect for businesses, it has a minimum order quantity of 100 units. Retail pricing is set at Rp 7,000, while business partners can enjoy a wholesale rate of Rp 7,000."
