sku,product_name,category,description,material,thickness,size,capacity,unit,color,retail_price,b2b_price,moq,is_test_data
FBT-A-ZIP-12.5x19.5x6.5-BLU,Flat Bottom 1000 gr ,Flat Bottom,"Kemasan Flat Bottom 1000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,145 Micron,150mm x 325mm x 95mm,1000.0,gr,Blue,3.7,3000.0,,False
FBT-A-ZIP-12.5x19.5x6.5-KRF,Flat Bottom 1000 gr ,Flat Bottom,"Kemasan Flat Bottom 1000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,145 Micron,150mm x 325mm x 95mm,1000.0,gr,Kraft,3.7,3000.0,,False
FBT-A-ZIP-12.5x19.5x6.5-GLD,Flat Bottom 1000 gr ,Flat Bottom,"Kemasan Flat Bottom 1000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,145 Micron,150mm x 325mm x 95mm,1000.0,gr,Gold ,3.7,3000.0,,False
FBT-M-ZIP-12.5x19.5x6.5-RED,Flat Bottom 1000 gr ,Flat Bottom,"Kemasan Flat Bottom 1000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / vmpet 12 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / vmpet 12 / lldpe 110,145 Micron,150mm x 325mm x 95mm,1000.0,gr,Red ,3.7,3000.0,,False
FBT-A-ZIP-12.5x19.5x6.5-WHT,Flat Bottom 1000 gr ,Flat Bottom,"Kemasan Flat Bottom 1000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,150mm x 325mm x 95mm,1000.0,gr,White ,3.8,3000.0,,False
FBT-A-ZIP-12.5x19.5x6.5-BLK,Flat Bottom 1000 gr ,Flat Bottom,"Kemasan Flat Bottom 1000 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,150mm x 325mm x 95mm,1000.0,gr,Black ,3.8,3000.0,,False
FBT-A-ZIP-12.4x19.5x6.5-BLK,Flat Bottom 250 gr ,Flat Bottom,"Kemasan Flat Bottom 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,125mm x 195mm x 65mm,250.0,gr,Black ,2.858,2000.0,,False
FBT-A-ZIP-12.4x19.5x6.5-WHT,Flat Bottom 250 gr ,Flat Bottom,"Kemasan Flat Bottom 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,125mm x 195mm x 65mm,250.0,gr,White ,2.858,2000.0,,False
FBT-A-ZIP-12.4x19.5x6.5-RED,Flat Bottom 250 gr ,Flat Bottom,"Kemasan Flat Bottom 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,125mm x 195mm x 65mm,250.0,gr,Red,2.858,2000.0,,False
FBT-A-ZIP-12.4x19.5x6.5-KRF,Flat Bottom 250 gr ,Flat Bottom,"Kemasan Flat Bottom 250 gr  kualitas premium dari kategori Flat Bottom. Dibuat dengan opp doff 20 / alu 7 / lldpe 110 yang menjamin keamanan produk Anda. Sangat ideal untuk menjaga kesegaran kopi, snack, atau produk UMKM lainnya. Tampilan profesional untuk meningkatkan nilai jual brand Anda.",opp doff 20 / alu 7 / lldpe 110,140 Micron,125mm x 195mm x 65mm,250.0,gr,Kraft,2.858,2000.0,,False
